ZIP code,County,Year,Age Group,Number of Visits,County Fips code,Age-adjusted rate
"90021
(34.03012156000045, -118.24177861599969)",LOS ANGELES,2012,Children (0-17),,6037,
"90021
(34.03012156000045, -118.24177861599969)",LOS ANGELES,2012,Adults (18+),38,6037,190.3
"90022
(34.023543222000455, -118.15512616999968)",LOS ANGELES,2012,AllAges,344,6037,51
"90022
(34.023543222000455, -118.15512616999968)",LOS ANGELES,2012,Children (0-17),146,6037,71.1
"90022
(34.023543222000455, -118.15512616999968)",LOS ANGELES,2012,Adults (18+),198,6037,44.1
"90023
(34.02418193800048, -118.20195663999971)",LOS ANGELES,2012,AllAges,285,6037,56.5
"90023
(34.02418193800048, -118.20195663999971)",LOS ANGELES,2012,Children (0-17),158,6037,104.1
"90023
(34.02418193800048, -118.20195663999971)",LOS ANGELES,2012,Adults (18+),127,6037,40
"90024
(34.06136215000049, -118.4402367409997)",LOS ANGELES,2012,AllAges,52,6037,15.5
"90024
(34.06136215000049, -118.4402367409997)",LOS ANGELES,2012,Children (0-17),,6037,
"90024
(34.06136215000049, -118.4402367409997)",LOS ANGELES,2012,Adults (18+),43,6037,12.1
"90025
(34.04518134900047, -118.45025632399972)",LOS ANGELES,2012,AllAges,73,6037,20.8
"90025
(34.04518134900047, -118.45025632399972)",LOS ANGELES,2012,Children (0-17),21,6037,38.1
"90025
(34.04518134900047, -118.45025632399972)",LOS ANGELES,2012,Adults (18+),52,6037,14.8
"90026
(34.07687382000046, -118.26535895999967)",LOS ANGELES,2012,AllAges,293,6037,46.9
"90026
(34.07687382000046, -118.26535895999967)",LOS ANGELES,2012,Children (0-17),128,6037,91.6
"90026
(34.07687382000046, -118.26535895999967)",LOS ANGELES,2012,Adults (18+),165,6037,31.4
"90027
(34.10546395500046, -118.2923675139997)",LOS ANGELES,2012,AllAges,190,6037,49.2
"90027
(34.10546395500046, -118.2923675139997)",LOS ANGELES,2012,Children (0-17),46,6037,80.1
"90027
(34.10546395500046, -118.2923675139997)",LOS ANGELES,2012,Adults (18+),144,6037,38.4
"90028
(34.10072355400047, -118.32821815499972)",LOS ANGELES,2012,AllAges,167,6037,71.3
"90028
(34.10072355400047, -118.32821815499972)",LOS ANGELES,2012,Children (0-17),40,6037,136.3
"90028
(34.10072355400047, -118.32821815499972)",LOS ANGELES,2012,Adults (18+),127,6037,48.7
"90029
(34.08989145600049, -118.29490934299969)",LOS ANGELES,2012,AllAges,191,6037,56.5
"90029
(34.08989145600049, -118.29490934299969)",LOS ANGELES,2012,Children (0-17),96,6037,125.2
"90029
(34.08989145600049, -118.29490934299969)",LOS ANGELES,2012,Adults (18+),95,6037,32.7
"90031
(34.07752122500045, -118.2131059239997)",LOS ANGELES,2012,AllAges,160,6037,40.3
"90031
(34.07752122500045, -118.2131059239997)",LOS ANGELES,2012,Children (0-17),79,6037,77.4
"90031
(34.07752122500045, -118.2131059239997)",LOS ANGELES,2012,Adults (18+),81,6037,27.5
"90032
(34.08151428500048, -118.17678602299969)",LOS ANGELES,2012,AllAges,255,6037,55.7
"90032
(34.08151428500048, -118.17678602299969)",LOS ANGELES,2012,Children (0-17),127,6037,108.4
"90032
(34.08151428500048, -118.17678602299969)",LOS ANGELES,2012,Adults (18+),128,6037,37.4
"90033
(34.04856176400045, -118.2115199969997)",LOS ANGELES,2012,AllAges,400,6037,83.8
"90033
(34.04856176400045, -118.2115199969997)",LOS ANGELES,2012,Children (0-17),172,6037,117.2
"90033
(34.04856176400045, -118.2115199969997)",LOS ANGELES,2012,Adults (18+),228,6037,72.2
"90034
(34.02829231300046, -118.40269589399969)",LOS ANGELES,2012,AllAges,192,6037,39.7
"90034
(34.02829231300046, -118.40269589399969)",LOS ANGELES,2012,Children (0-17),75,6037,76.7
"90034
(34.02829231300046, -118.40269589399969)",LOS ANGELES,2012,Adults (18+),117,6037,26.9
"90035
(34.05421027100044, -118.38387767499972)",LOS ANGELES,2012,AllAges,84,6037,29.6
"90035
(34.05421027100044, -118.38387767499972)",LOS ANGELES,2012,Children (0-17),22,6037,36.4
"90035
(34.05421027100044, -118.38387767499972)",LOS ANGELES,2012,Adults (18+),62,6037,27.2
"90036
(34.06889204400045, -118.35077742299967)",LOS ANGELES,2012,AllAges,89,6037,27.3
"90036
(34.06889204400045, -118.35077742299967)",LOS ANGELES,2012,Children (0-17),24,6037,39.1
"90036
(34.06889204400045, -118.35077742299967)",LOS ANGELES,2012,Adults (18+),65,6037,23.1
"90037
(34.00349102100046, -118.28709702299972)",LOS ANGELES,2012,AllAges,490,6037,76.9
"90037
(34.00349102100046, -118.28709702299972)",LOS ANGELES,2012,Children (0-17),236,6037,124
"90037
(34.00349102100046, -118.28709702299972)",LOS ANGELES,2012,Adults (18+),254,6037,60.6
"90038
(34.08898335000049, -118.32483774099973)",LOS ANGELES,2012,AllAges,131,6037,51.8
"90038
(34.08898335000049, -118.32483774099973)",LOS ANGELES,2012,Children (0-17),57,6037,106.5
"90038
(34.08898335000049, -118.32483774099973)",LOS ANGELES,2012,Adults (18+),74,6037,32.8
"90039
(34.111603448000494, -118.2612572749997)",LOS ANGELES,2012,AllAges,135,6037,54.6
"90039
(34.111603448000494, -118.2612572749997)",LOS ANGELES,2012,Children (0-17),46,6037,91.5
"90039
(34.111603448000494, -118.2612572749997)",LOS ANGELES,2012,Adults (18+),89,6037,41.8
"90040
(33.99649121800047, -118.15148940099971)",LOS ANGELES,2012,AllAges,60,6037,56.7
"90040
(33.99649121800047, -118.15148940099971)",LOS ANGELES,2012,Children (0-17),33,6037,116.8
"90040
(33.99649121800047, -118.15148940099971)",LOS ANGELES,2012,Adults (18+),27,6037,35.9
"90041
(34.13538366300048, -118.20684911499967)",LOS ANGELES,2012,AllAges,105,6037,37
"90041
(34.13538366300048, -118.20684911499967)",LOS ANGELES,2012,Children (0-17),27,6037,52.2
"90041
(34.13538366300048, -118.20684911499967)",LOS ANGELES,2012,Adults (18+),78,6037,31.7
"90042
(34.11332407100048, -118.19142869099971)",LOS ANGELES,2012,AllAges,259,6037,42.6
"90042
(34.11332407100048, -118.19142869099971)",LOS ANGELES,2012,Children (0-17),98,6037,64.2
"90042
(34.11332407100048, -118.19142869099971)",LOS ANGELES,2012,Adults (18+),161,6037,35.1
"90043
(33.98673233600044, -118.33290641599967)",LOS ANGELES,2012,AllAges,514,6037,119.9
"90043
(33.98673233600044, -118.33290641599967)",LOS ANGELES,2012,Children (0-17),212,6037,205.6
"90043
(33.98673233600044, -118.33290641599967)",LOS ANGELES,2012,Adults (18+),302,6037,90.2
"90044
(33.95386236800044, -118.2919460489997)",LOS ANGELES,2012,AllAges,1006,6037,104.4
"90044
(33.95386236800044, -118.2919460489997)",LOS ANGELES,2012,Children (0-17),503,6037,171.3
"90044
(33.95386236800044, -118.2919460489997)",LOS ANGELES,2012,Adults (18+),503,6037,81.2
"90045
(33.961522614000444, -118.39344972199967)",LOS ANGELES,2012,AllAges,133,6037,40
"90045
(33.961522614000444, -118.39344972199967)",LOS ANGELES,2012,Children (0-17),55,6037,78.4
"90045
(33.961522614000444, -118.39344972199967)",LOS ANGELES,2012,Adults (18+),78,6037,26.6
"90046
(34.097151960000474, -118.35826821299969)",LOS ANGELES,2012,AllAges,101,6037,26.1
"90046
(34.097151960000474, -118.35826821299969)",LOS ANGELES,2012,Children (0-17),21,6037,50
"90046
(34.097151960000474, -118.35826821299969)",LOS ANGELES,2012,Adults (18+),80,6037,17.8
"90047
(33.95687345800047, -118.3090784049997)",LOS ANGELES,2012,AllAges,520,6037,106.6
"90047
(33.95687345800047, -118.3090784049997)",LOS ANGELES,2012,Children (0-17),195,6037,160.5
"90047
(33.95687345800047, -118.3090784049997)",LOS ANGELES,2012,Adults (18+),325,6037,87.9
"90048
(34.07316318500045, -118.37406665299972)",LOS ANGELES,2012,AllAges,74,6037,35.1
"90048
(34.07316318500045, -118.37406665299972)",LOS ANGELES,2012,Children (0-17),,6037,
"90048
(34.07316318500045, -118.37406665299972)",LOS ANGELES,2012,Adults (18+),65,6037,29.8
"90049
(34.06172278600047, -118.4722594319997)",LOS ANGELES,2012,AllAges,54,6037,12.4
"90049
(34.06172278600047, -118.4722594319997)",LOS ANGELES,2012,Children (0-17),,6037,
"90049
(34.06172278600047, -118.4722594319997)",LOS ANGELES,2012,Adults (18+),47,6037,12.8
"90056
(33.98651074000048, -118.36959998699967)",LOS ANGELES,2012,AllAges,31,6037,44.3
"90056
(33.98651074000048, -118.36959998699967)",LOS ANGELES,2012,Children (0-17),,6037,
"90056
(33.98651074000048, -118.36959998699967)",LOS ANGELES,2012,Adults (18+),22,6037,34.6
"90057
(34.06211383600049, -118.27713826999968)",LOS ANGELES,2012,AllAges,259,6037,63.2
"90057
(34.06211383600049, -118.27713826999968)",LOS ANGELES,2012,Children (0-17),113,6037,107.4
"90057
(34.06211383600049, -118.27713826999968)",LOS ANGELES,2012,Adults (18+),146,6037,47.9
"90058
(34.00184426500044, -118.22112680399971)",LOS ANGELES,2012,AllAges,33,6037,82.3
"90058
(34.00184426500044, -118.22112680399971)",LOS ANGELES,2012,Children (0-17),23,6037,188.4
"90058
(34.00184426500044, -118.22112680399971)",LOS ANGELES,2012,Adults (18+),,6037,
"90059
(33.927010235000466, -118.24839605799968)",LOS ANGELES,2012,AllAges,443,6037,96.4
"90059
(33.927010235000466, -118.24839605799968)",LOS ANGELES,2012,Children (0-17),256,6037,169.1
"90059
(33.927010235000466, -118.24839605799968)",LOS ANGELES,2012,Adults (18+),187,6037,71.2
"90061
(33.92303021000049, -118.27377957999971)",LOS ANGELES,2012,AllAges,273,6037,95.2
"90061
(33.92303021000049, -118.27377957999971)",LOS ANGELES,2012,Children (0-17),111,6037,125.4
"90061
(33.92303021000049, -118.27377957999971)",LOS ANGELES,2012,Adults (18+),162,6037,84.6
"90062
(34.00387338200045, -118.30885680999972)",LOS ANGELES,2012,AllAges,305,6037,94.7
"90062
(34.00387338200045, -118.30885680999972)",LOS ANGELES,2012,Children (0-17),137,6037,160.2
"90062
(34.00387338200045, -118.30885680999972)",LOS ANGELES,2012,Adults (18+),168,6037,71.9
"90063
(34.044881544000475, -118.18593660399972)",LOS ANGELES,2012,AllAges,292,6037,49.9
"90063
(34.044881544000475, -118.18593660399972)",LOS ANGELES,2012,Children (0-17),158,6037,89.2
"90063
(34.044881544000475, -118.18593660399972)",LOS ANGELES,2012,Adults (18+),134,6037,36.3
"90064
(34.035413777000485, -118.4321767559997)",LOS ANGELES,2012,AllAges,73,6037,28.5
"90064
(34.035413777000485, -118.4321767559997)",LOS ANGELES,2012,Children (0-17),12,6037,23.5
"90064
(34.035413777000485, -118.4321767559997)",LOS ANGELES,2012,Adults (18+),61,6037,30.3
"90065
(34.10881395500047, -118.22766603799971)",LOS ANGELES,2012,AllAges,281,6037,63.6
"90065
(34.10881395500047, -118.22766603799971)",LOS ANGELES,2012,Children (0-17),122,6037,112.5
"90065
(34.10881395500047, -118.22766603799971)",LOS ANGELES,2012,Adults (18+),159,6037,46.7
"90066
(34.002152760000456, -118.4290396619997)",LOS ANGELES,2012,AllAges,159,6037,33.9
"90066
(34.002152760000456, -118.4290396619997)",LOS ANGELES,2012,Children (0-17),60,6037,62.8
"90066
(34.002152760000456, -118.4290396619997)",LOS ANGELES,2012,Adults (18+),99,6037,23.9
"90068
(34.115253253000446, -118.33141607799968)",LOS ANGELES,2012,AllAges,34,6037,18.3
"90068
(34.115253253000446, -118.33141607799968)",LOS ANGELES,2012,Children (0-17),,6037,
"90068
(34.115253253000446, -118.33141607799968)",LOS ANGELES,2012,Adults (18+),24,6037,11.8
"90069
(34.08940047000044, -118.3797890249997)",LOS ANGELES,2012,AllAges,45,6037,40.8
"90069
(34.08940047000044, -118.3797890249997)",LOS ANGELES,2012,Children (0-17),,6037,
"90069
(34.08940047000044, -118.3797890249997)",LOS ANGELES,2012,Adults (18+),38,6037,26.3
"90201
(33.96958259900049, -118.17504801999968)",LOS ANGELES,2012,AllAges,443,6037,41.9
"90201
(33.96958259900049, -118.17504801999968)",LOS ANGELES,2012,Children (0-17),234,6037,69.6
